date,mktrf,smb,hml,rf,umd
198910,-0.036700,-0.032400,-0.011100,0.00680,0.013600
198911,0.010300,-0.012400,-0.010900,0.00690,0.025800
198912,0.011600,-0.023700,0.001600,0.00610,0.027900
199001,-0.078500,-0.012500,0.008500,0.00570,-0.032800
199002,0.011100,0.009700,0.006400,0.00570,-0.005300
199003,0.018300,0.014600,-0.029200,0.00640,0.016400
199004,-0.033600,-0.004500,-0.025900,0.00690,0.024300
199005,0.084200,-0.025600,-0.038300,0.00680,0.030500
199006,-0.010900,0.013600,-0.019300,0.00630,0.024300
199007,-0.019000,-0.030900,-0.000400,0.00680,0.059400
199008,-0.101500,-0.035600,0.016000,0.00660,0.017600
199009,-0.061200,-0.036700,0.006100,0.00600,0.055600
199010,-0.019200,-0.055300,0.000000,0.00680,0.067300
199011,0.063500,0.004500,-0.029700,0.00570,-0.056200
199012,0.024600,0.008200,-0.016300,0.00600,0.000200
199101,0.046900,0.038300,-0.015700,0.00520,-0.065500
199102,0.071900,0.039900,-0.006300,0.00480,-0.047500
199103,0.026500,0.039000,-0.013000,0.00440,0.027600
199104,-0.002800,0.004800,0.014500,0.00530,-0.024000
199105,0.036500,-0.004000,-0.004900,0.00470,-0.000900
199106,-0.049400,0.001500,0.010700,0.00420,0.004600
199107,0.042400,-0.009100,-0.013200,0.00490,0.043400
199108,0.023200,0.015900,-0.007800,0.00460,0.016300
199109,-0.015900,0.016400,-0.010700,0.00460,0.017300
199110,0.012900,0.008100,-0.004600,0.00420,0.032200
199111,-0.041900,-0.005000,-0.018800,0.00390,0.012600
199112,0.108400,-0.022400,-0.041800,0.00380,0.083000
199201,-0.005900,0.084600,0.047000,0.00340,-0.025100
199202,0.010900,0.008700,0.064700,0.00280,-0.005800
199203,-0.026600,-0.010400,0.035500,0.00340,-0.003600
199204,0.010700,-0.060600,0.043200,0.00320,-0.025400
199205,0.003000,0.004100,0.011900,0.00280,0.001300
199206,-0.023400,-0.030700,0.032500,0.00320,-0.006100
199207,0.037700,-0.005100,-0.005500,0.00310,0.014400
199208,-0.023800,-0.001400,-0.010800,0.00260,-0.005100
199209,0.011900,0.004900,-0.002300,0.00260,0.014300
199210,0.010200,0.021000,-0.019800,0.00230,0.027100
199211,0.041300,0.037900,-0.014200,0.00230,-0.003400
199212,0.015300,0.016700,0.026500,0.00280,0.044400
199301,0.009300,0.018500,0.059500,0.00230,0.048300
199302,0.001200,-0.034900,0.064400,0.00220,0.031000
199303,0.023000,0.002300,0.011900,0.00250,0.037400
199304,-0.030500,-0.006800,0.024800,0.00240,0.003300
199305,0.028900,0.020800,-0.035000,0.00220,0.003000
199306,0.003100,-0.002600,0.027200,0.00250,0.045700
199307,-0.003400,0.009000,0.028200,0.00240,0.032500
199308,0.037100,0.001400,0.001400,0.00250,0.025800
199309,-0.001200,0.029800,-0.003500,0.00260,0.034100
199310,0.014100,0.020300,-0.027800,0.00220,-0.026700
199311,-0.018900,-0.011300,-0.006600,0.00250,-0.047100
199312,0.016500,0.012000,0.002700,0.00230,0.022800
199401,0.028700,0.005100,0.012800,0.00250,0.000200
199402,-0.025500,0.028000,-0.015600,0.00210,-0.002900
199403,-0.047800,-0.011400,0.015500,0.00270,-0.013300
199404,0.006800,-0.009200,0.016600,0.00270,0.004100
199405,0.005800,-0.021200,0.007000,0.00310,-0.021500
199406,-0.030300,-0.004000,0.016700,0.00310,-0.008200
199407,0.028200,-0.017600,0.005700,0.00280,0.001900
199408,0.040100,0.014300,-0.025000,0.00370,0.015600
199409,-0.023100,0.031100,-0.018400,0.00370,0.013300
199410,0.013400,-0.022600,-0.016300,0.00380,0.014300
199411,-0.040400,0.003100,-0.007300,0.00370,-0.002000
199412,0.008600,0.001900,-0.000900,0.00440,0.035000
199501,0.018000,-0.034400,0.025100,0.00420,-0.018200
199502,0.036300,-0.006600,0.010900,0.00400,-0.003600
199503,0.021900,-0.002100,-0.020800,0.00460,0.003800
199504,0.021100,-0.004900,0.017000,0.00440,0.018000
199505,0.029000,-0.025200,0.022700,0.00540,-0.004400
199506,0.027200,0.031500,-0.025400,0.00470,0.029000
199507,0.037200,0.020600,-0.015900,0.00450,0.025300
199508,0.005500,0.013600,0.028100,0.00470,0.000900
199509,0.033500,-0.022000,-0.000500,0.00430,0.027100
199510,-0.015200,-0.038000,-0.005100,0.00470,0.041100
199511,0.039600,-0.011100,0.005800,0.00420,-0.006500
199512,0.010300,0.007200,0.001800,0.00490,0.025400
199601,0.022600,-0.027300,0.004000,0.00430,0.005700
199602,0.013300,0.017800,-0.010700,0.00390,0.005700
199603,0.007300,0.015100,0.003600,0.00390,-0.018800
199604,0.020600,0.052200,-0.040500,0.00460,-0.009100
199605,0.023600,0.031800,-0.008900,0.00420,0.015500
199606,-0.011400,-0.039900,0.023800,0.00400,0.010100
199607,-0.059700,-0.043100,0.051400,0.00450,-0.001100
199608,0.027700,0.024600,-0.007400,0.00410,-0.000500
199609,0.050100,-0.009800,-0.027000,0.00440,0.027000
199610,0.008600,-0.044400,0.049400,0.00420,0.039100
199611,0.062500,-0.040500,0.013900,0.00410,-0.022300
199612,-0.017000,0.031700,0.013200,0.00460,0.006100
199701,0.049800,-0.019300,-0.014600,0.00450,0.019500
199702,-0.004900,-0.032000,0.056900,0.00390,-0.020500
199703,-0.050200,-0.003500,0.034000,0.00430,0.009600
199704,0.040400,-0.057800,0.000700,0.00430,0.049200
199705,0.067400,0.051900,-0.041200,0.00490,-0.051600
199706,0.041000,0.012400,0.015900,0.00370,0.026200
199707,0.073300,-0.027300,0.002900,0.00430,0.038100
199708,-0.041500,0.073100,0.012000,0.00410,-0.025500
199709,0.053500,0.025300,0.003800,0.00440,0.014500
199710,-0.038000,-0.007700,0.022500,0.00420,-0.003800
199711,0.029800,-0.051300,0.011900,0.00390,0.002900
199712,0.013200,-0.024700,0.038600,0.00480,0.039500
199801,0.001500,-0.010600,-0.015900,0.00430,0.001100
199802,0.070400,0.003400,-0.008500,0.00390,-0.011500
199803,0.047600,-0.011100,0.014100,0.00390,0.021500
199804,0.007300,0.000200,0.009000,0.00430,0.007800
199805,-0.030700,-0.033500,0.034000,0.00400,0.018800
199806,0.031800,-0.032300,-0.019600,0.00410,0.072600
199807,-0.024600,-0.049100,-0.017600,0.00400,0.036800
199808,-0.160800,-0.056800,0.036000,0.00430,0.018800
199809,0.061500,0.001000,-0.033700,0.00460,-0.007100
199810,0.071300,-0.031200,-0.022900,0.00320,-0.053600
199811,0.061000,0.012000,-0.032300,0.00310,0.011600
199812,0.061600,-0.005100,-0.041800,0.00380,0.089900
199901,0.035000,0.007800,-0.046200,0.00350,0.030400
199902,-0.040800,-0.060600,0.018800,0.00350,-0.001600
199903,0.034500,-0.037700,-0.027700,0.00430,-0.012900
199904,0.043300,0.039500,0.024100,0.00370,-0.090600
199905,-0.024600,0.033700,0.023000,0.00340,-0.052800
199906,0.047700,0.031400,-0.032600,0.00400,0.048800
199907,-0.034900,0.026000,-0.004200,0.00380,0.015100
199908,-0.013800,-0.009400,-0.018400,0.00390,0.029200
199909,-0.027900,0.034400,-0.034800,0.00390,0.064600
199910,0.061200,-0.066100,-0.033700,0.00390,0.054700
199911,0.033700,0.072200,-0.061600,0.00360,0.056200
199912,0.077200,0.069900,-0.083200,0.00440,0.131900
200001,-0.047400,0.057900,-0.018900,0.00410,0.018600
200002,0.024500,0.214800,-0.098100,0.00430,0.183600
200003,0.052000,-0.172900,0.082300,0.00470,-0.063900
200004,-0.064000,-0.066300,0.072500,0.00460,-0.085700
200005,-0.044200,-0.061100,0.048300,0.00500,-0.090800
200006,0.046400,0.128000,-0.084100,0.00400,0.165900
200007,-0.025100,-0.030800,0.083300,0.00480,-0.001100
200008,0.070300,-0.006300,-0.013700,0.00500,0.057000
200009,-0.054500,-0.017300,0.071700,0.00510,0.022000
200010,-0.027600,-0.039300,0.056400,0.00560,-0.046300
200011,-0.107200,-0.033900,0.123400,0.00510,-0.024000
200012,0.011900,0.007300,0.076000,0.00500,0.067000
200101,0.031300,0.066800,-0.051100,0.00540,-0.250500
200102,-0.100500,-0.007400,0.124800,0.00380,0.125100
200103,-0.072600,0.002700,0.064300,0.00420,0.083500
200104,0.079400,0.005600,-0.046900,0.00390,-0.079700
200105,0.007200,0.025000,0.033600,0.00320,0.021200
200106,-0.019400,0.062700,-0.011300,0.00280,0.003400
200107,-0.021300,-0.041900,0.052100,0.00300,0.054700
200108,-0.064600,0.024800,0.023000,0.00310,0.055400
200109,-0.092500,-0.062500,0.014600,0.00280,0.115400
